kid_name,activity,calendar_source,time,duration,frequency,days_of_week,start_date,end_date,address,pickup_driver,return_driver
All,🕍 Shabbat Shekalim,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-03-06,2027-03-06,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Adar II,Jewish,00:00:00,0,one-time,"[""tuesday""]",2027-03-09,2027-03-09,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Adar II,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-03-10,2027-03-10,Location TBD,N/A,N/A
All,🕍 Shabbat Zachor,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-03-20,2027-03-20,Location TBD,N/A,N/A
All,✡️ Ta’anit Esther,Jewish,00:00:00,0,one-time,"[""monday""]",2027-03-22,2027-03-22,Location TBD,N/A,N/A
All,🎭️📜 Erev Purim,Jewish,00:00:00,0,one-time,"[""monday""]",2027-03-22,2027-03-22,Location TBD,N/A,N/A
All,🎭️📜 Purim,Jewish,00:00:00,0,one-time,"[""tuesday""]",2027-03-23,2027-03-23,Location TBD,N/A,N/A
All,🎭️📜 Shushan Purim,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-03-24,2027-03-24,Location TBD,N/A,N/A
All,🕍 Shabbat Parah,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-03-27,2027-03-27,Location TBD,N/A,N/A
All,🕍 Shabbat HaChodesh,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-04-03,2027-04-03,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Nisan,Jewish,00:00:00,0,one-time,"[""thursday""]",2027-04-08,2027-04-08,Location TBD,N/A,N/A
All,🕍 Shabbat HaGadol,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-04-17,2027-04-17,Location TBD,N/A,N/A
All,🇮🇱 Yom HaAliyah,Jewish,00:00:00,0,one-time,"[""saturday""]",2027-04-17,2027-04-17,Location TBD,N/A,N/A
All,✡️ Ta’anit Bechorot,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-04-21,2027-04-21,Location TBD,N/A,N/A
All,🫓🍷 Erev Pesach,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-04-21,2027-04-21,Location TBD,N/A,N/A
All,🫓🍷 Pesach I,Jewish,00:00:00,0,one-time,"[""thursday""]",2027-04-22,2027-04-22,Location TBD,N/A,N/A
All,🫓 Pesach II,Jewish,00:00:00,0,one-time,"[""friday""]",2027-04-23,2027-04-23,Location TBD,N/A,N/A
All,🫓 Pesach III (CH’’M),Jewish,00:00:00,0,one-time,"[""saturday""]",2027-04-24,2027-04-24,Location TBD,N/A,N/A
All,🫓 Pesach IV (CH’’M),Jewish,00:00:00,0,one-time,"[""sunday""]",2027-04-25,2027-04-25,Location TBD,N/A,N/A
All,🫓 Pesach V (CH’’M),Jewish,00:00:00,0,one-time,"[""monday""]",2027-04-26,2027-04-26,Location TBD,N/A,N/A
All,🫓 Pesach VI (CH’’M),Jewish,00:00:00,0,one-time,"[""tuesday""]",2027-04-27,2027-04-27,Location TBD,N/A,N/A
All,🫓 Pesach VII,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-04-28,2027-04-28,Location TBD,N/A,N/A
All,🫓 Pesach VIII,Jewish,00:00:00,0,one-time,"[""thursday""]",2027-04-29,2027-04-29,Location TBD,N/A,N/A
All,✡️ Yom HaShoah,Jewish,00:00:00,0,one-time,"[""tuesday""]",2027-05-04,2027-05-04,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Iyyar,Jewish,00:00:00,0,one-time,"[""friday""]",2027-05-07,2027-05-07,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Iyyar,Jewish,00:00:00,0,one-time,"[""saturday""]",2027-05-08,2027-05-08,Location TBD,N/A,N/A
All,🇮🇱 Yom HaZikaron,Jewish,00:00:00,0,one-time,"[""tuesday""]",2027-05-11,2027-05-11,Location TBD,N/A,N/A
All,🇮🇱 Yom HaAtzma’ut,Jewish,00:00:00,0,one-time,"[""wednesday""]",2027-05-12,2027-05-12,Location TBD,N/A,N/A
All,✡️ Pesach Sheni,Jewish,00:00:00,0,one-time,"[""friday""]",2027-05-21,2027-05-21,Location TBD,N/A,N/A
